freq,SPL
52.8967113541908,107.96875
65.18944143675145,108.4375
82.57398049260206,109.7265625
102.24031412278839,112.89062499999997
125.9488507528382,113.125
167.2400911116896,111.6015625
205.85400556229277,111.3671875
261.759554214152,114.8828125
330.757104042485,114.765625
420.4127198996036,118.046875
544.4574979717137,132.109375
658.2858925718742,121.5625
832.1425705533169,121.6796875
1054.698992310712,123.3203125
1290.8497833848887,119.8046875
1680.2378463741263,121.796875
2063.1479240377926,120.15625
2534.864809225471,118.8671875
3116.3345010621324,117.9296875
4367.892011483748,117.578125
5218.120745379609,115.1171875
6611.018334191003,116.52343749999997
8570.336643029264,116.171875
10525.57336528896,114.6484375
12955.813547347834,114.4140625
16354.224060836974,113.7109375
20627.286010439082,112.5390625
