freq,SPL
52.065651113615296,123.37686129904219
65.38166988289575,124.27965969281729
82.48821985596932,128.04460086561147
103.83119918651902,127.8620255933501
129.5961174445572,126.54403837440039
167.92736851470576,123.10674833205731
207.09372263850747,122.28140966547397
260.03078390684726,123.23354322588709
331.69724425354303,121.96629740160309
413.69270665195506,120.99365634911953
528.0134175208744,124.46328963609943
645.9606911350706,122.30519835627567
834.7940602931762,125.08484242433711
1040.5183185733501,129.39176731613568
1299.4160378687573,127.82710426399586
1625.7118727529855,125.4237433790097
2025.2544087566498,129.97734410399838
2557.72001680981,123.28182372150434
3210.8283143978297,124.3326276151935
4068.4405821191053,126.12416212246683
5184.694930883282,125.30093279792501
6413.2938513784775,123.09420946547709
7993.48003820084,122.41757941282167
10101.97248207917,120.40960297495351
12390.598811886955,117.06746769581724
16148.111820458029,115.99896876611302
20198.696996446022,113.69427821440289
