freq,SPL
50.61405252694167,121.42001710863985
63.691305579629464,121.79757368380122
81.39275613783776,125.02099696710474
101.34598981956492,125.0357726106229
126.89566501994632,122.98195816159887
162.8454329061402,120.36083676802238
205.17714801263998,120.27296057236175
255.36910081751338,120.44288047282058
319.83761247984444,118.28563651916944
404.38502802562357,116.90489151566995
504.9234994117994,115.88537211291701
631.2486536825941,114.40041993934209
804.3489925747089,114.41675091375689
1011.6065246228181,115.00116649817248
1246.1884572985134,114.70487596236099
1603.441417024523,115.39427638230032
2010.1126608922493,121.46123337740103
2513.416178541579,115.63146434403919
3105.2606144719816,118.54226611711641
3961.1140987182503,122.43798118049614
5036.893567038397,118.9369313321409
6424.365289927528,118.59125904036082
8239.643900792262,120.47009876351193
10118.078139782026,117.07014542343883
12499.131391430474,115.73955984135624
16115.971203460569,115.65323897659226
20117.1302646164,114.73714907846643
