freq,SPL
51.04049071649272,125.59758701922019
63.49811565008477,126.33931441403756
81.11136354622803,130.17635014640805
100.12783123131422,129.5017282754673
125.31120798696034,128.04086215627132
166.9965727157043,124.79892560709804
199.21190783272925,123.91334404790736
256.93783070348564,124.18427599568481
314.2764335861519,122.61773188613196
416.80556701231905,121.1588472292552
497.9885391280299,119.69639594020387
623.2387602367129,118.2355298210079
794.791450601739,118.40118007089232
1013.7096113317064,118.51438761806213
1271.8640070025176,120.41025076506462
1629.3412958745166,118.89773452808173
1948.9067770449471,117.01574161731358
2502.252710741444,118.96484005195835
3114.311871288493,119.5492393386319
3932.450471657447,119.08518086347725
4965.516412985585,118.62112238832259
6174.836769563631,119.52017789128377
7981.103125175689,119.00446929834217
9972.864746382942,118.12047290900685
12405.214552823374,118.91464300653882
16604.09918202623,118.34768058827414
20021.2182552852,117.77715153783492
