freq,SPL
51.487634104261474,101.52235158772478
65.49493006133491,100.65675502055247
85.18622174775649,100.60309609482263
102.08255975979631,103.08841126753468
129.54833158113712,105.31928740274844
164.70934504627752,105.11359485411742
202.23088356390636,105.72046974652666
257.0591856934502,105.81934828337623
315.54521483994586,106.73079426126607
405.2029873872897,108.45392596075929
508.53921411836006,110.27883327525183
638.2039119084185,112.15450243732445
799.9702602008293,115.60378887438017
991.9982596376981,118.19024986249376
1258.4131163124766,120.92874447350853
1617.2865097474507,121.58587737381966
2032.5600281655943,121.58335817542859
2523.096752634352,122.79924927887946
3132.624945463281,123.76133114442985
4122.403129295538,123.35221332571976
5010.966334268942,122.13178766516495
6234.03597871491,120.45425345655013
8017.742987261355,120.14691125283935
9850.314213017542,119.94159658396698
12379.596820712557,119.93907738557591
16105.304578769214,119.58084737436548
19760.406652228732,121.10143552321651
